,PM2.5,PM10,NO2,SO2,NH3,CO,Ozone,SO2i,NOi,PM25i,PM10i,Ozonei,NH3i,COi,AQI,AQI_Range
3590,42.44,116.38,24.35,3.76,33.81,1.01,9.98,4.699999999999999,30.4375,70.73333333333333,136.38,9.98,8.4525,50.5,136.38,Moderately Polluted
3591,17.1,79.62,17.83,5.2,32.36,0.99,12.49,6.5,22.287499999999998,28.500000000000004,99.525,12.49,8.09,49.5,99.525,Satisfactory
3592,24.32,65.26,20.01,4.39,28.19,1.02,16.04,5.4875,25.012500000000003,40.53333333333334,81.575,16.04,7.0475,51.0,81.575,Satisfactory
3593,68.06,151.89,28.02,6.99,30.89,1.22,15.07,8.7375,35.025,126.86666666666667,171.89,15.07,7.7225,61.0,171.89,Moderately Polluted
3594,32.85,62.02,19.33,4.59,35.53,1.04,10.63,5.7375,24.162499999999998,54.75,77.525,10.63,8.8825,52.0,77.525,Satisfactory
3595,39.22,73.89,19.98,4.14,35.44,0.97,14.14,5.175,24.975,65.36666666666666,92.3625,14.14,8.86,48.5,92.3625,Satisfactory
3596,39.32,73.84,26.24,7.48,32.05,1.31,8.85,9.350000000000001,32.8,65.53333333333333,92.30000000000001,8.85,8.0125,65.5,92.30000000000001,Satisfactory
3597,21.4,76.27,17.41,9.68,30.65,0.91,11.23,12.1,21.7625,35.666666666666664,95.33749999999999,11.23,7.6625,45.5,95.33749999999999,Satisfactory
3598,18.31,30.33,19.6,5.21,30.21,0.92,17.2,6.5125,24.500000000000004,30.516666666666666,37.9125,17.2,7.5525,46.0,46.0,Good
3599,27.19,57.23,20.79,6.94,33.49,1.16,14.4,8.675,25.9875,45.31666666666667,71.5375,14.4,8.3725,58.0,71.5375,Satisfactory
3600,29.11,62.17,15.97,4.06,28.65,1.29,13.89,5.074999999999999,19.9625,48.516666666666666,77.7125,13.89,7.1625,64.5,77.7125,Satisfactory
3601,20.69,62.54,21.24,2.81,29.68,1.71,11.33,3.5125,26.55,34.483333333333334,78.175,11.33,7.42,85.5,85.5,Satisfactory
3602,30.87,78.63,25.72,5.79,32.17,1.5,12.23,7.2375,32.15,51.45,98.2875,12.23,8.0425,75.0,98.2875,Satisfactory
3603,27.64,84.17,25.32,3.34,35.68,1.19,8.31,4.175,31.65,46.06666666666667,105.2125,8.31,8.92,59.5,105.2125,Moderately Polluted
3604,31.02,67.77,35.88,11.05,33.14,1.86,22.15,13.8125,44.85000000000001,51.7,84.71249999999999,22.15,8.285,93.0,93.0,Satisfactory
3605,22.67,41.48,26.75,12.29,27.87,1.28,19.57,15.362499999999999,33.4375,37.78333333333334,51.85,19.57,6.9675,64.0,64.0,Satisfactory
3606,22.43,75.75,24.2,2.56,23.87,1.63,16.25,3.2,30.25,37.38333333333333,94.6875,16.25,5.9675,81.5,94.6875,Satisfactory
3607,13.04,66.31,17.27,1.7,23.17,1.59,32.27,2.125,21.5875,21.733333333333334,82.8875,32.27,5.7925,79.5,82.8875,Satisfactory
3608,14.65,55.2,15.49,13.57,24.1,1.85,21.97,16.9625,19.3625,24.416666666666668,69.0,21.97,6.025,92.5,92.5,Satisfactory
3609,13.58,68.81,23.05,21.19,22.21,1.16,12.64,26.4875,28.8125,22.633333333333333,86.0125,12.64,5.5525,58.0,86.0125,Satisfactory
3610,12.43,81.22,21.57,18.49,22.1,1.37,9.41,23.112499999999997,26.9625,20.71666666666667,101.525,9.41,5.525,68.5,101.525,Moderately Polluted
3611,12.14,78.39,19.7,5.12,22.98,1.76,9.78,6.4,24.625,20.233333333333334,97.9875,9.78,5.745,88.0,97.9875,Satisfactory
3612,15.0,113.24,14.7,8.17,22.52,1.0,13.21,10.2125,18.375,25.0,133.24,13.21,5.63,50.0,133.24,Moderately Polluted
3613,31.25,115.71,26.76,5.85,25.52,1.34,15.43,7.3125,33.45,52.083333333333336,135.70999999999998,15.43,6.38,67.0,135.70999999999998,Moderately Polluted
3614,44.23,105.84,30.79,9.86,28.08,1.62,20.69,12.325,38.4875,73.71666666666667,125.84,20.69,7.02,81.0,125.84,Moderately Polluted
3615,18.31,71.52,15.69,6.89,26.57,1.04,15.74,8.612499999999999,19.6125,30.516666666666666,89.39999999999999,15.74,6.6425,52.0,89.39999999999999,Satisfactory
3616,9.55,51.8,16.49,7.02,22.9,1.1,9.98,8.774999999999999,20.612499999999997,15.916666666666668,64.75,9.98,5.725,55.00000000000001,64.75,Satisfactory
3617,15.42,75.58,21.26,8.15,21.85,1.03,10.03,10.1875,26.575,25.7,94.475,10.03,5.4625,51.5,94.475,Satisfactory
3618,20.65,91.83,23.9,9.66,23.34,1.11,28.65,12.075,29.875,34.416666666666664,114.7875,28.65,5.835,55.50000000000001,114.7875,Moderately Polluted
3619,34.36,119.33,27.03,7.19,22.34,1.48,9.1,8.9875,33.7875,57.266666666666666,139.32999999999998,9.1,5.585,74.0,139.32999999999998,Moderately Polluted
3620,39.43,96.2,19.97,12.61,26.19,1.12,10.32,15.7625,24.9625,65.71666666666667,120.25,10.32,6.5475,56.00000000000001,120.25,Moderately Polluted
3621,60.64779004169733,60.64779004169733,29.1,10.0,60.64779004169733,0.6,60.64779004169733,12.5,36.375,102.15930013899109,75.80973755212166,60.64779004169733,15.161947510424332,30.0,102.15930013899109,Moderately Polluted
3622,60.64779004169733,60.64779004169733,60.64779004169733,60.64779004169733,60.64779004169733,60.64779004169733,60.64779004169733,75.80973755212166,75.80973755212166,102.15930013899109,75.80973755212166,60.64779004169733,15.161947510424332,556.7517061276313,556.7517061276313,Severe
3623,60.64779004169733,60.64779004169733,38.45,7.75,36.33,1.12,60.64779004169733,9.6875,48.06250000000001,102.15930013899109,75.80973755212166,60.64779004169733,9.0825,56.00000000000001,102.15930013899109,Moderately Polluted
3624,60.64779004169733,60.64779004169733,60.64779004169733,60.64779004169733,60.64779004169733,60.64779004169733,60.64779004169733,75.80973755212166,75.80973755212166,102.15930013899109,75.80973755212166,60.64779004169733,15.161947510424332,556.7517061276313,556.7517061276313,Severe
